,Name,Neighborhood,Tree Diameter
51912,'Schubert' chokecherry,East Village,1.0
53169,'Schubert' chokecherry,East Village,1.0
41009,American beech,East Village,1.0
36922,American elm,Marble Hill-Inwood,1.0
13986,American elm,SoHo-TriBeCa-Civic Center-Little Italy,1.0
31841,American hornbeam,Lower East Side,1.0
24286,American hornbeam,Turtle Bay-East Midtown,1.0
11228,American linden,Central Harlem North-Polo Grounds,1.0
11260,American linden,Central Harlem North-Polo Grounds,1.0
11439,American linden,Central Harlem North-Polo Grounds,1.0
11463,American linden,Central Harlem North-Polo Grounds,1.0
45491,American linden,Marble Hill-Inwood,1.0
27507,American linden,Washington Heights South,1.0
14574,Callery pear,Battery Park City-Lower Manhattan,1.0
29583,Callery pear,Chinatown,1.0
57109,Callery pear,Gramercy,1.0
41322,Callery pear,Hamilton Heights,1.0
61042,Callery pear,Morningside Heights,1.0
23746,Callery pear,Turtle Bay-East Midtown,1.0
41315,Callery pear,Turtle Bay-East Midtown,1.0
51137,Callery pear,Upper West Side,1.0
58720,Chinese chestnut,Yorkville,1.0
55377,Chinese elm,Morningside Heights,1.0
25300,Chinese elm,Washington Heights North,1.0
37822,Cornelian cherry,West Village,1.0
48314,Douglas-fir,Manhattanville,1.0
56405,Japanese maple,East Village,1.0
31458,Japanese tree lilac,Central Harlem North-Polo Grounds,1.0
55876,Japanese tree lilac,West Village,1.0
42210,Japanese zelkova,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
28123,London planetree,Murray Hill-Kips Bay,1.0
44859,Sophora,Central Harlem North-Polo Grounds,1.0
27602,Sophora,Clinton,1.0
54014,Sophora,East Village,1.0
7232,Sophora,Hamilton Heights,1.0
7530,Sophora,Hamilton Heights,1.0
7959,Sophora,Hamilton Heights,1.0
8011,Sophora,Hamilton Heights,1.0
8155,Sophora,Hamilton Heights,1.0
99,Sophora,SoHo-TriBeCa-Civic Center-Little Italy,1.0
25916,Sophora,Turtle Bay-East Midtown,1.0
7902,Sophora,Upper West Side,1.0
46094,Sophora,Upper West Side,1.0
60939,Sophora,Upper West Side,1.0
61559,black cherry,Yorkville,1.0
11186,cherry,East Harlem North,1.0
28327,cherry,West Village,1.0
29678,common hackberry,Lincoln Square,1.0
42482,crab apple,Hamilton Heights,1.0
18233,crab apple,Washington Heights North,1.0
54703,cucumber magnolia,Midtown-Midtown South,1.0
16301,dawn redwood,Battery Park City-Lower Manhattan,1.0
48261,dawn redwood,Hamilton Heights,1.0
5093,ginkgo,Central Harlem North-Polo Grounds,1.0
30367,ginkgo,East Harlem South,1.0
50314,ginkgo,East Village,1.0
41663,ginkgo,Marble Hill-Inwood,1.0
40216,ginkgo,Morningside Heights,1.0
56510,ginkgo,Morningside Heights,1.0
22889,ginkgo,Turtle Bay-East Midtown,1.0
21467,ginkgo,Upper East Side-Carnegie Hill,1.0
32900,ginkgo,Washington Heights North,1.0
46413,green ash,East Village,1.0
467,holly,Lincoln Square,1.0
16304,honeylocust,Battery Park City-Lower Manhattan,1.0
44411,honeylocust,Lower East Side,1.0
25802,honeylocust,Washington Heights North,1.0
43843,littleleaf linden,Central Harlem North-Polo Grounds,1.0
34764,littleleaf linden,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
36312,littleleaf linden,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
45197,littleleaf linden,Marble Hill-Inwood,1.0
17482,littleleaf linden,Upper East Side-Carnegie Hill,1.0
31920,mimosa,Lincoln Square,1.0
17624,mulberry,West Village,1.0
26309,paperbark maple,Washington Heights North,1.0
27912,pin oak,Lower East Side,1.0
33665,pin oak,Midtown-Midtown South,1.0
51741,purple-leaf plum,Hudson Yards-Chelsea-Flatiron-Union Square,1.0
51807,purple-leaf plum,Morningside Heights,1.0
33756,purple-leaf plum,West Village,1.0
33,red maple,Chinatown,1.0
19011,red maple,Clinton,1.0
20993,river birch,Clinton,1.0
21709,river birch,Clinton,1.0
14131,sawtooth oak,Lincoln Square,1.0
10531,shingle oak,Morningside Heights,1.0
31751,shingle oak,West Village,1.0
16125,silver linden,Central Harlem North-Polo Grounds,1.0
16019,swamp white oak,East Harlem North,1.0
60515,swamp white oak,Morningside Heights,1.0
23119,willow oak,Turtle Bay-East Midtown,1.0
61054,'Schubert' chokecherry,Central Harlem North-Polo Grounds,2.0
58496,'Schubert' chokecherry,East Harlem South,2.0
61128,'Schubert' chokecherry,East Harlem South,2.0
16686,'Schubert' chokecherry,East Village,2.0
49144,'Schubert' chokecherry,East Village,2.0
48544,'Schubert' chokecherry,Lenox Hill-Roosevelt Island,2.0
48410,'Schubert' chokecherry,Marble Hill-Inwood,2.0
21679,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
44560,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
44561,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
45095,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
45096,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
48026,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
48027,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
49116,'Schubert' chokecherry,SoHo-TriBeCa-Civic Center-Little Italy,2.0
19850,'Schubert' chokecherry,Upper East Side-Carnegie Hill,2.0
36176,'Schubert' chokecherry,West Village,2.0
37066,'Schubert' chokecherry,West Village,2.0
38055,'Schubert' chokecherry,West Village,2.0
54897,'Schubert' chokecherry,Yorkville,2.0
58757,American beech,Central Harlem South,2.0
58802,American beech,Central Harlem South,2.0
6112,American elm,Central Harlem North-Polo Grounds,2.0
11075,American elm,Central Harlem North-Polo Grounds,2.0
52628,American elm,Central Harlem North-Polo Grounds,2.0
9803,American elm,Central Harlem South,2.0
52451,American elm,Central Harlem South,2.0
35335,American elm,East Harlem South,2.0
51811,American elm,East Harlem South,2.0
52413,American elm,East Harlem South,2.0
38270,American elm,East Village,2.0
43740,American elm,East Village,2.0
43791,American elm,East Village,2.0
43927,American elm,East Village,2.0
46650,American elm,East Village,2.0
57427,American elm,East Village,2.0
39615,American elm,Hamilton Heights,2.0
39645,American elm,Hamilton Heights,2.0
39838,American elm,Hamilton Heights,2.0
40199,American elm,Hamilton Heights,2.0
40294,American elm,Hamilton Heights,2.0
42566,American elm,Hamilton Heights,2.0
42561,American elm,Lenox Hill-Roosevelt Island,2.0
20,American elm,Lincoln Square,2.0
261,American elm,Lincoln Square,2.0
7377,American elm,Lincoln Square,2.0
43166,American elm,Lower East Side,2.0
43207,American elm,Lower East Side,2.0
45918,American elm,Lower East Side,2.0
57502,American elm,Lower East Side,2.0
35631,American elm,Marble Hill-Inwood,2.0
36599,American elm,Marble Hill-Inwood,2.0
39582,American elm,Marble Hill-Inwood,2.0
39641,American elm,Marble Hill-Inwood,2.0
28485,American elm,Morningside Heights,2.0
28486,American elm,Morningside Heights,2.0
28566,American elm,Morningside Heights,2.0
28654,American elm,Morningside Heights,2.0
28879,American elm,Morningside Heights,2.0
28886,American elm,Morningside Heights,2.0
28938,American elm,Morningside Heights,2.0
29118,American elm,Morningside Heights,2.0
49007,American elm,Morningside Heights,2.0
22034,American elm,Murray Hill-Kips Bay,2.0
58349,American elm,Murray Hill-Kips Bay,2.0
13368,American elm,SoHo-TriBeCa-Civic Center-Little Italy,2.0
59850,American elm,Stuyvesant Town-Cooper Village,2.0
60187,American elm,Stuyvesant Town-Cooper Village,2.0
20861,American elm,Turtle Bay-East Midtown,2.0
9817,American elm,Upper East Side-Carnegie Hill,2.0
9840,American elm,Upper East Side-Carnegie Hill,2.0
9849,American elm,Upper East Side-Carnegie Hill,2.0
9887,American elm,Upper East Side-Carnegie Hill,2.0
9915,American elm,Upper East Side-Carnegie Hill,2.0
11153,American elm,Upper East Side-Carnegie Hill,2.0
12039,American elm,Upper East Side-Carnegie Hill,2.0
12195,American elm,Upper East Side-Carnegie Hill,2.0
22290,American elm,Upper East Side-Carnegie Hill,2.0
22294,American elm,Upper East Side-Carnegie Hill,2.0
23518,American elm,Upper East Side-Carnegie Hill,2.0
24719,American elm,Upper East Side-Carnegie Hill,2.0
25086,American elm,Upper East Side-Carnegie Hill,2.0
25794,American elm,Upper East Side-Carnegie Hill,2.0
56771,American elm,Upper East Side-Carnegie Hill,2.0
2296,American elm,Upper West Side,2.0
2357,American elm,Upper West Side,2.0
2598,American elm,Upper West Side,2.0
26778,American elm,Upper West Side,2.0
26793,American elm,Upper West Side,2.0
60738,American elm,Upper West Side,2.0
60937,American elm,Upper West Side,2.0
7478,American elm,Washington Heights North,2.0
21208,American elm,Washington Heights North,2.0
21212,American elm,Washington Heights North,2.0
21217,American elm,Washington Heights North,2.0
22402,American elm,Washington Heights North,2.0
32178,American elm,Washington Heights North,2.0
47296,American elm,Washington Heights North,2.0
17466,American elm,Washington Heights South,2.0
19145,American elm,Washington Heights South,2.0
32145,American elm,Washington Heights South,2.0
14924,American hophornbeam,Central Harlem South,2.0
54945,American hophornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
52458,American hophornbeam,Morningside Heights,2.0
59545,American hophornbeam,Upper West Side,2.0
24492,American hornbeam,Central Harlem North-Polo Grounds,2.0
3427,American hornbeam,Central Harlem South,2.0
8256,American hornbeam,Central Harlem South,2.0
29836,American hornbeam,East Harlem South,2.0
20239,American hornbeam,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
24854,American hornbeam,Lower East Side,2.0
24856,American hornbeam,Lower East Side,2.0
24895,American hornbeam,Lower East Side,2.0
26140,American hornbeam,Lower East Side,2.0
26820,American hornbeam,Lower East Side,2.0
28051,American hornbeam,Lower East Side,2.0
28063,American hornbeam,Lower East Side,2.0
8787,American hornbeam,Morningside Heights,2.0
24839,American hornbeam,Murray Hill-Kips Bay,2.0
15505,American hornbeam,Upper West Side,2.0
4349,American hornbeam,West Village,2.0
11057,American linden,Battery Park City-Lower Manhattan,2.0
40388,American linden,Battery Park City-Lower Manhattan,2.0
8376,American linden,Central Harlem North-Polo Grounds,2.0
8998,American linden,Central Harlem North-Polo Grounds,2.0
11224,American linden,Central Harlem North-Polo Grounds,2.0
11362,American linden,Central Harlem North-Polo Grounds,2.0
11454,American linden,Central Harlem North-Polo Grounds,2.0
11878,American linden,Central Harlem North-Polo Grounds,2.0
11931,American linden,Central Harlem North-Polo Grounds,2.0
12378,American linden,Central Harlem North-Polo Grounds,2.0
12489,American linden,Central Harlem North-Polo Grounds,2.0
12524,American linden,Central Harlem North-Polo Grounds,2.0
12527,American linden,Central Harlem North-Polo Grounds,2.0
12563,American linden,Central Harlem North-Polo Grounds,2.0
12567,American linden,Central Harlem North-Polo Grounds,2.0
15249,American linden,Central Harlem North-Polo Grounds,2.0
24178,American linden,Central Harlem North-Polo Grounds,2.0
24431,American linden,Central Harlem North-Polo Grounds,2.0
24496,American linden,Central Harlem North-Polo Grounds,2.0
46931,American linden,Central Harlem North-Polo Grounds,2.0
20406,American linden,Central Harlem South,2.0
33265,American linden,Central Harlem South,2.0
34967,American linden,Central Harlem South,2.0
45840,American linden,Central Harlem South,2.0
24469,American linden,Chinatown,2.0
51302,American linden,Chinatown,2.0
60662,American linden,Chinatown,2.0
21888,American linden,Clinton,2.0
22169,American linden,Clinton,2.0
51387,American linden,East Harlem North,2.0
59629,American linden,East Harlem South,2.0
16237,American linden,East Village,2.0
58959,American linden,East Village,2.0
1219,American linden,Gramercy,2.0
1265,American linden,Gramercy,2.0
39711,American linden,Gramercy,2.0
52804,American linden,Gramercy,2.0
59707,American linden,Gramercy,2.0
7980,American linden,Hamilton Heights,2.0
19231,American linden,Hamilton Heights,2.0
38063,American linden,Hamilton Heights,2.0
34171,American linden,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
49077,American linden,Hudson Yards-Chelsea-Flatiron-Union Square,2.0
183,American linden,Lenox Hill-Roosevelt Island,2.0
52538,American linden,Lincoln Square,2.0
