Name,Status,Neighborhood,Tree Diameter
honeylocust,Alive,Lincoln Square,11
honeylocust,Alive,Lincoln Square,11
American linden,Alive,Clinton,9
honeylocust,Alive,Upper East Side-Carnegie Hill,14
willow oak,Alive,Upper West Side,4
honeylocust,Alive,Chinatown,9
honeylocust,Alive,Lincoln Square,7
honeylocust,Alive,Lincoln Square,5
honeylocust,Alive,Lincoln Square,12
honeylocust,Alive,Lincoln Square,13
London planetree,Alive,Upper West Side,20
London planetree,Alive,Stuyvesant Town-Cooper Village,12
willow oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,6
London planetree,Alive,Upper West Side,13
pin oak,Alive,Upper West Side,8
pin oak,Alive,Murray Hill-Kips Bay,8
pin oak,Alive,West Village,5
pin oak,Alive,Morningside Heights,18
London planetree,Alive,Chinatown,13
London planetree,Alive,Upper East Side-Carnegie Hill,13
American elm,Alive,Lincoln Square,2
London planetree,Alive,Upper West Side,4
London planetree,Alive,Upper West Side,2
American elm,Alive,Upper West Side,29
London planetree,Alive,Chinatown,12
London planetree,Alive,Morningside Heights,9
London planetree,Alive,Upper West Side,5
London planetree,Alive,Chinatown,13
ash,Alive,Clinton,14
London planetree,Alive,Morningside Heights,3
willow oak,Alive,Morningside Heights,5
American elm,Alive,Morningside Heights,5
pin oak,Alive,West Village,7
red maple,Alive,Chinatown,1
pin oak,Alive,Upper West Side,5
ginkgo,Alive,Murray Hill-Kips Bay,4
honeylocust,Alive,Upper West Side,7
pin oak,Alive,Upper West Side,13
pin oak,Alive,Morningside Heights,21
honeylocust,Alive,Lincoln Square,14
honeylocust,Alive,Lenox Hill-Roosevelt Island,15
honeylocust,Alive,Lincoln Square,13
honeylocust,Alive,Gramercy,8
ginkgo,Alive,Gramercy,7
honeylocust,Alive,Lincoln Square,7
honeylocust,Alive,Lenox Hill-Roosevelt Island,4
honeylocust,Alive,Chinatown,10
ginkgo,Alive,Lincoln Square,10
honeylocust,Alive,Lenox Hill-Roosevelt Island,11
honeylocust,Alive,Upper West Side,10
honeylocust,Alive,Lincoln Square,14
crab apple,Alive,Lincoln Square,4
honeylocust,Alive,Lenox Hill-Roosevelt Island,13
honeylocust,Alive,Murray Hill-Kips Bay,7
crab apple,Alive,Lincoln Square,4
honeylocust,Alive,Lenox Hill-Roosevelt Island,14
honeylocust,Alive,Lenox Hill-Roosevelt Island,9
ginkgo,Alive,Lincoln Square,10
ginkgo,Alive,Chinatown,3
ginkgo,Alive,Lenox Hill-Roosevelt Island,17
honeylocust,Alive,Lenox Hill-Roosevelt Island,14
honeylocust,Alive,Lenox Hill-Roosevelt Island,11
ginkgo,Alive,Midtown-Midtown South,4
ginkgo,Alive,Chinatown,19
honeylocust,Alive,Lincoln Square,11
honeylocust,Alive,Lincoln Square,9
honeylocust,Alive,Midtown-Midtown South,3
honeylocust,Alive,Lenox Hill-Roosevelt Island,10
honeylocust,Alive,Lenox Hill-Roosevelt Island,12
honeylocust,Alive,Murray Hill-Kips Bay,4
ginkgo,Alive,Gramercy,10
honeylocust,Alive,Lincoln Square,6
honeylocust,Alive,Lincoln Square,11
ginkgo,Alive,Chinatown,6
honeylocust,Alive,Lincoln Square,8
honeylocust,Alive,Upper West Side,7
honeylocust,Alive,Battery Park City-Lower Manhattan,2
honeylocust,Alive,Central Harlem South,9
honeylocust,Alive,Gramercy,11
London planetree,Alive,Upper West Side,12
willow oak,Alive,Upper West Side,17
Turkish hazelnut,Alive,Chinatown,5
ginkgo,Alive,Gramercy,9
ginkgo,Alive,Turtle Bay-East Midtown,8
ginkgo,Alive,Turtle Bay-East Midtown,6
Norway maple,Alive,Clinton,3
ginkgo,Alive,Midtown-Midtown South,10
ginkgo,Alive,Upper West Side,10
honeylocust,Alive,Upper West Side,7
ginkgo,Alive,Lenox Hill-Roosevelt Island,14
honeylocust,Alive,Lincoln Square,6
Norway maple,Alive,Morningside Heights,12
London planetree,Alive,Stuyvesant Town-Cooper Village,19
London planetree,Alive,Stuyvesant Town-Cooper Village,4
willow oak,Alive,SoHo-TriBeCa-Civic Center-Little Italy,5
London planetree,Alive,Upper West Side,26
honeylocust,Alive,Gramercy,4
honeylocust,Alive,Battery Park City-Lower Manhattan,3
Sophora,Alive,Murray Hill-Kips Bay,4
Sophora,Alive,SoHo-TriBeCa-Civic Center-Little Italy,1
honeylocust,Alive,Lenox Hill-Roosevelt Island,5
honeylocust,Alive,Lenox Hill-Roosevelt Island,4
honeylocust,Alive,Lower East Side,4
Callery pear,Alive,Morningside Heights,11
swamp white oak,Alive,Hudson Yards-Chelsea-Flatiron-Union Square,3
crab apple,Alive,Lincoln Square,4
honeylocust,Alive,Lenox Hill-Roosevelt Island,12
Japanese zelkova,Alive,Battery Park City-Lower Manhattan,11
Japanese zelkova,Alive,West Village,5
American linden,Alive,Central Harlem South,7
Sophora,Alive,Upper East Side-Carnegie Hill,4
Sophora,Alive,Lower East Side,4
Sophora,Alive,Clinton,6
honeylocust,Alive,Lincoln Square,8
American linden,Alive,Upper East Side-Carnegie Hill,10
honeylocust,Alive,Lincoln Square,9
honeylocust,Alive,Gramercy,6
honeylocust,Alive,Morningside Heights,13
Sophora,Alive,Lower East Side,3
ginkgo,Alive,West Village,15
honeylocust,Alive,Lincoln Square,11
honeylocust,Alive,Clinton,11
sweetgum,Alive,Upper East Side-Carnegie Hill,7
ginkgo,Alive,Midtown-Midtown South,7
honeylocust,Alive,Upper West Side,8
ginkgo,Alive,Gramercy,7
ginkgo,Alive,Lenox Hill-Roosevelt Island,13
American linden,Alive,Clinton,8
pin oak,Alive,Upper West Side,21
pin oak,Alive,Morningside Heights,21
Sophora,Alive,Murray Hill-Kips Bay,14
honeylocust,Alive,Lenox Hill-Roosevelt Island,12
honeylocust,Alive,Midtown-Midtown South,6
honeylocust,Alive,Chinatown,7
honeylocust,Alive,Morningside Heights,5
American linden,Alive,Lenox Hill-Roosevelt Island,12
American linden,Alive,Upper East Side-Carnegie Hill,8
honeylocust,Alive,Yorkville,10
honeylocust,Alive,Gramercy,7
London planetree,Alive,Upper West Side,17
London planetree,Alive,Upper West Side,24
Ohio buckeye,Alive,West Village,20
Sophora,Alive,West Village,14
Sophora,Alive,Lenox Hill-Roosevelt Island,9
Callery pear,Alive,Upper East Side-Carnegie Hill,8
Callery pear,Alive,Clinton,18
Callery pear,Alive,Lincoln Square,7
Callery pear,Alive,West Village,12
ginkgo,Alive,Murray Hill-Kips Bay,10
honeylocust,Alive,Upper West Side,8
honeylocust,Alive,Chinatown,4
Japanese zelkova,Alive,Gramercy,5
Japanese zelkova,Alive,Gramercy,6
honeylocust,Alive,Lenox Hill-Roosevelt Island,11
honeylocust,Alive,Lincoln Square,6
honeylocust,Alive,Lincoln Square,2
Callery pear,Alive,Upper East Side-Carnegie Hill,10
Callery pear,Alive,Morningside Heights,8
